version,symbol,datetime,avgPrice,executedQty,origQty,side,action,num,position,net_pos,delta_p,pl,profit,equity,nav,is_mark_to_market
aggressive,BTCUSDC,20260306 10:30:01,71302.6992,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-1221.641300000003,-366.49239000000085,-1846.0119300000079,5153.988069999992,0.7362840099999989,False
aggressive,BTCUSDC,20260310 10:30:00,69345.5535,0.600,0.600,BUY,1,0.6,0.3,-0.3,-1957.1457000000082,587.1437100000024,-1258.8682200000053,5741.131779999994,0.8201616828571421,False
aggressive,BTCUSDC,20260319 10:30:01,71237.3,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,1891.7465000000084,567.5239500000025,-691.3442700000028,6308.655729999997,0.9012365328571424,False
aggressive,BTCUSDC,20260324 10:30:01,70520.4152,0.600,0.600,BUY,1,0.6,0.3,-0.3,-716.8847999999998,215.06543999999994,-476.2788300000028,6523.721169999997,0.9319601671428567,False
aggressive,BTCUSDC,20260325 10:30:01,70513.901,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-6.514200000005076,-1.9542600000015227,-478.2330900000043,6521.766909999996,0.9316809871428565,False
aggressive,BTCUSDC,20260326 10:30:02,70843.4128,0.600,0.600,BUY,1,0.6,0.3,-0.3,329.5118000000075,-98.85354000000224,-577.0866300000066,6422.913369999993,0.9175590528571419,False
aggressive,BTCUSDC,20260327 10:30:01,68965.5292,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-1877.883600000001,-563.3650800000003,-1140.4517100000069,5859.548289999993,0.8370783271428562,False
aggressive,BTCUSDC,20260331 10:30:01,67989.7857,0.600,0.600,BUY,1,0.6,0.3,-0.3,-975.7435000000114,292.7230500000034,-847.7286600000034,6152.271339999997,0.8788959057142852,False
aggressive,BTCUSDC,20260402 10:30:01,66867.7013,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-1122.0843999999925,-336.6253199999977,-1184.3539800000012,5815.646019999998,0.830806574285714,False
aggressive,BTCUSDC,20260403 10:30:01,66435.6,0.600,0.600,BUY,1,0.6,0.3,-0.3,-432.1012999999948,129.63038999999844,-1054.7235900000028,5945.276409999997,0.8493252014285709,False
aggressive,BTCUSDC,20260408 10:30:01,71436.4937,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,5000.8937000000005,1500.2681100000002,445.5445199999974,7445.544519999998,1.0636492171428569,False
aggressive,BTCUSDC,20260410 10:30:01,72160.0,0.600,0.600,BUY,1,0.6,0.3,-0.3,723.5062999999936,-217.05188999999808,228.49262999999934,7228.49263,1.0326418042857142,False
aggressive,BTCUSDC,20260414 13:38:47,74338.6,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,2178.600000000006,653.5800000000017,882.072630000001,7882.072630000001,1.1260103757142859,False
aggressive,BTCUSDC,20260415 10:30:01,74342.4077,0.600,0.600,BUY,1,0.6,0.3,-0.3,3.807699999990291,-1.1423099999970872,880.9303200000039,7880.930320000004,1.1258471885714292,False
aggressive,BTCUSDC,20260416 10:30:01,74895.6,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,553.1923000000097,165.9576900000029,1046.888010000007,8046.888010000007,1.149555430000001,False
aggressive,BTCUSDC,20260418 10:30:01,77311.6,0.600,0.600,BUY,1,0.6,0.3,-0.3,2416.0,-724.8,322.088010000007,7322.088010000007,1.0460125728571439,False
aggressive,BTCUSDC,20260421 10:30:01,75736.5,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-1575.1000000000058,-472.53000000000173,-150.44198999999475,6849.558010000005,0.9785082871428579,False
aggressive,BTCUSDC,20260423 10:30:03,78051.149,0.600,0.600,BUY,1,0.6,0.3,-0.3,2314.649000000005,-694.3947000000014,-844.8366899999962,6155.163310000004,0.8793090442857148,False
aggressive,BTCUSDC,20260425 10:30:01,77625.01,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-426.1390000000101,-127.84170000000303,-972.6783899999992,6027.321610000001,0.8610459442857145,False
aggressive,BTCUSDC,20260429 10:30:01,76424.5873,0.600,0.600,BUY,1,0.6,0.3,-0.3,-1200.4226999999955,360.12680999999867,-612.5515800000005,6387.44842,0.9124926314285714,False
aggressive,BTCUSDC,20260430 10:30:01,76067.5,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-357.08729999999923,-107.12618999999977,-719.6777700000002,6280.32223,0.89718889,False
aggressive,BTCUSDC,20260501 10:30:01,76584.2,0.600,0.600,BUY,1,0.6,0.3,-0.3,516.6999999999971,-155.0099999999991,-874.6877699999993,6125.31223,0.8750446042857144,False
aggressive,BTCUSDC,20260507 10:30:01,80875.2,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,4291.0,1287.3,412.61223000000064,7412.612230000001,1.0589446042857145,False
aggressive,BTCUSDC,20260512 10:30:03,81232.8,0.600,0.600,BUY,1,0.6,0.3,-0.3,357.6000000000058,-107.28000000000175,305.3322299999989,7305.332229999999,1.0436188899999999,False
aggressive,BTCUSDC,20260513 11:30:06,81055.8,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-177.0,-53.1,252.2322299999989,7252.232229999999,1.0360331757142855,False
aggressive,BTCUSDC,20260522 11:30:10,77708.8,0.600,0.600,BUY,1,0.6,0.3,-0.3,-3347.0,1004.0999999999999,1256.3322299999988,8256.332229999998,1.1794760328571425,False
aggressive,BTCUSDC,20260523 11:30:10,75499.3,0.600,0.600,SELL,-1,-0.6,-0.3,0.3,-2209.5,-662.85,593.4822299999988,7593.482229999999,1.0847831757142856,False
aggressive,BTCUSDC,20260608 23:59:00,63139.1,0,0,MARK,0,0.0,-0.3,-0.3,-12360.200000000004,3708.0600000000013,4301.54223,11301.54223,1.6145060328571428,True
